Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue LatLng
Eastern,22.2734,114.2361,呂仔記,22.27878126044626,114.23001421698672,Dessert Shop,"22.278781,114.230014"
Eastern,22.2734,114.2361,Master Low-key Food Shop (低調高手大街小食),22.279212086093487,114.22960599296015,Snack Place,"22.279212,114.229606"
Eastern,22.2734,114.2361,Maxim’s MX (美心MX),22.275620376019095,114.24116592028997,Restaurant,"22.27562,114.241166"
Eastern,22.2734,114.2361,Tai Hing (太興),22.27850286058458,114.22854368102963,Restaurant,"22.278503,114.228544"
Eastern,22.2734,114.2361,Hong Kong Museum of Coastal Defence (香港海防博物館),22.281943156257167,114.23544213890018,History Museum,"22.281943,114.235442"
Kowloon City,22.3232,114.1856,Homantin Plaza (何文田廣場),22.316065,114.18163,Shopping Mall,"22.316065,114.18163"
Kowloon City,22.3232,114.1856,Grand Waterfront Plaza (翔龍灣廣場),22.319335225027007,114.19290293660336,Shopping Mall,"22.319335,114.192903"
Kowloon City,22.3232,114.1856,Kowloon Tsai Park (九龍仔公園),22.331617733718563,114.18437486022549,Park,"22.331618,114.184375"
Kowloon City,22.3232,114.1856,Kowloon City Market (九龍城街市),22.329359075072023,114.1890145811413,Market,"22.329359,114.189015"
Kowloon City,22.3232,114.1856,Islam Food (清真牛肉館),22.32821060587235,114.19039145129473,Restaurant,"22.328211,114.190391"
Kowloon City,22.3232,114.1856,Argyle Street Playground (亞皆老街遊樂場),22.326314,114.18908,Playground,"22.326314,114.18908"
Kowloon City,22.3232,114.1856,John Choy Café,22.31677499155076,114.192364530871,Café,"22.316775,114.192365"
Kowloon City,22.3232,114.1856,Fong Wing Kee (方榮記),22.330318774874964,114.18880046333004,Restaurant,"22.330319,114.1888"
Kowloon City,22.3232,114.1856,Pacific Coffee (太平洋咖啡),22.326743,114.185159,Coffee Shop,"22.326743,114.185159"
Kwai Tsing,22.3549,114.1261,MTR Lai King Station (港鐵荔景站),22.348490561931055,114.12590452441486,Metro Station,"22.348491,114.125905"
Kwai Tsing,22.3549,114.1261,Kwai Chung Plaza (葵涌廣場),22.35805,114.127552,Shopping Mall,"22.35805,114.127552"
Kwai Tsing,22.3549,114.1261,Chiuchow Garden (潮庭),22.35764897206599,114.12674308141018,Restaurant,"22.357649,114.126743"
Kwai Tsing,22.3549,114.1261,Kwai Tsing Theatre (葵青劇院),22.35631899418825,114.12653987030949,Theater,"22.356319,114.12654"
Kwai Tsing,22.3549,114.1261,LOG-ON,22.357666588394046,114.12635207176208,Gift Shop,"22.357667,114.126352"
Kwai Tsing,22.3549,114.1261,McDonald’s (麥當勞),22.357521106802647,114.12680864017699,Restaurant,"22.357521,114.126809"
Kwai Tsing,22.3549,114.1261,Passion by Gérard Dubois,22.35756436255786,114.12754892224955,Restaurant,"22.357564,114.127549"
Kwai Tsing,22.3549,114.1261,Broadway Cinema (百老匯戲院),22.357438374826607,114.12672758102417,Movie Theater,"22.357438,114.126728"
Kwai Tsing,22.3549,114.1261,PARKnSHOP 百佳,22.35735975285423,114.1280355016742,Grocery Store,"22.35736,114.128036"
Kwai Tsing,22.3549,114.1261,SMK Tap Dance Studio,22.35875229103468,114.13175148032308,Dance Studio,"22.358752,114.131751"
North,22.5009,114.1558,Café 100% (百份百餐廳),22.501205,114.14638,Restaurant,"22.501205,114.14638"
North,22.5009,114.1558,Lung Yeuk Tau Heritage Trail,22.503279940853957,114.15041185914677,Other Great Outdoors,"22.50328,114.150412"
North,22.5009,114.1558,On Lok Mun Street Playground 安樂門街遊樂場,22.50027214965324,114.14733612929638,Playground,"22.500272,114.147336"
North,22.5009,114.1558,仁利餅家,22.50774368424109,114.15549196063652,Bakery,"22.507744,114.155492"
Sha Tin,22.3864,114.2093,Fortune City One (置富第一城),22.38743158626311,114.20195511214644,Shopping Mall,"22.387432,114.201955"
Sha Tin,22.3864,114.2093,Fortune City One Plus (置富第一城．樂薈),22.38743402540988,114.20195393165272,Shopping Mall,"22.387434,114.201954"
Sha Tin,22.3864,114.2093,MTR City One Station (港鐵第一城站),22.383023694885956,114.20372287750222,Train Station,"22.383024,114.203723"
Sha Tin,22.3864,114.2093,MTR Shek Mun Station (港鐵石門站),22.387694,114.208349,Train Station,"22.387694,114.208349"
Sha Tin,22.3864,114.2093,City One Bus Terminus (第一城巴士總站),22.38625240603152,114.20274112978109,Bus Station,"22.386252,114.202741"
Sha Tin,22.3864,114.2093,Shing Mun River (城門河),22.390166666666666,114.20155555555556,River,"22.390167,114.201556"
Sha Tin,22.3864,114.2093,ASAP As Simple As Possible,22.387288065619817,114.20326924162929,Restaurant,"22.387288,114.203269"
Sha Tin,22.3864,114.2093,ClubONE Riviera (ClubONE Riviera  會所1號),22.390295,114.203114,Restaurant,"22.390295,114.203114"
Sha Tin,22.3864,114.2093,MoMo Café,22.390956672985602,114.2060165462702,Buffet,"22.390957,114.206017"
Sham Shui Po,22.3321,114.1469,MTR Nam Cheong Station Platform 4 南昌站4號月台 (南昌站4號月台),22.326043157172332,114.15353963937262,Platform,"22.326043,114.15354"
Sham Shui Po,22.3321,114.1469,D2 Place,22.336013620896164,114.14859130848457,Shopping Mall,"22.336014,114.148591"
Sham Shui Po,22.3321,114.1469,McDonald’s (麥當勞),22.32767810858083,114.154794216156,Restaurant,"22.327678,114.154794"
Sham Shui Po,22.3321,114.1469,AEON (永旺),22.333310790604312,114.14836428822845,Department Store,"22.333311,114.148364"
Sham Shui Po,22.3321,114.1469,Starbucks (星巴克),22.336983669191344,114.14791114395472,Coffee Shop,"22.336984,114.147911"
Sham Shui Po,22.3321,114.1469,Lai Chi Kok Park (荔枝角公園),22.33399,114.140493,Park,"22.33399,114.140493"
Sham Shui Po,22.3321,114.1469,Mei Foo Bus Terminus,22.337176035731808,114.14051855829547,Bus Station,"22.337176,114.140519"
Sham Shui Po,22.3321,114.1469,McDonald’s (麥當勞),22.337766880760917,114.13960410136886,Restaurant,"22.337767,114.139604"
Sham Shui Po,22.3321,114.1469,Sham Shui Po Sports Ground (深水埗運動場),22.337115673224883,114.15174720572382,Athletics & Sports,"22.337116,114.151747"
Sham Shui Po,22.3321,114.1469,Greater China Club (大公館),22.336031897315124,114.14851391836366,Restaurant,"22.336032,114.148514"
Sai Kung,22.3834,114.271,Sai Kung Public Pier (西貢公眾碼頭),22.381987,114.274813,Pier,"22.381987,114.274813"
Sai Kung,22.3834,114.271,Sai Kung Waterfront Park (西貢海濱公園),22.382469,114.274573,Park,"22.382469,114.274573"
Sai Kung,22.3834,114.271,Chuen Kee Seafood Restaurant (全記海鮮菜館),22.380751014374727,114.27334549535163,Restaurant,"22.380751,114.273345"
Sai Kung,22.3834,114.271,Sai Kung Bus Terminus (西貢巴士總站),22.38207511822952,114.27355435298006,Bus Station,"22.382075,114.273554"
Sai Kung,22.3834,114.271,Momentai,22.382167,114.274478,Restaurant,"22.382167,114.274478"
Sai Kung,22.3834,114.271,McDonald's 麥當勞 (麥當勞),22.382549405189987,114.27162492464696,Restaurant,"22.382549,114.271625"
Sai Kung,22.3834,114.271,Honeymoon Dessert (滿記甜品),22.38145227086297,114.27066348001624,Dessert Shop,"22.381452,114.270663"
Sai Kung,22.3834,114.271,Hung Kee Seafood Restaurant (洪記海鮮酒樓),22.381056503912,114.27365041075966,Restaurant,"22.381057,114.27365"
Sai Kung,22.3834,114.271,Tiki Tiki Bowling Bar,22.380210430865024,114.26821788748535,Bowling Alley,"22.38021,114.268218"
Sai Kung,22.3834,114.271,Little Cove Espresso,22.379613156531178,114.2718354837184,Coffee Shop,"22.379613,114.271835"
Tai Po,22.4423,114.1655,MTR Tai Po Market Station (港鐵大埔墟站),22.4445559,114.1704893,Train Station,"22.444556,114.170489"
Tai Po,22.4423,114.1655,Tai Po Hui Market and Cooked Food Centre (大埔墟街市及熟食中心),22.446173967270063,114.16665804310824,Market,"22.446174,114.166658"
Tai Po,22.4423,114.1655,Wan Tau Tong Square (運頭塘新城),22.442038,114.167075,Shopping Mall,"22.442038,114.167075"
Tai Po,22.4423,114.1655,陳漢記粉麵專家,22.446907849536956,114.16799375397281,Restaurant,"22.446908,114.167994"
Tai Po,22.4423,114.1655,McDonald's (麥當勞),22.44362683552229,114.16985604924338,Restaurant,"22.443627,114.169856"
Tai Po,22.4423,114.1655,Fairwood (大快活),22.44225841540375,114.16749715805054,Restaurant,"22.442258,114.167497"
Tai Po,22.4423,114.1655,Starbucks (星巴克),22.444275381745378,114.17022602687602,Coffee Shop,"22.444275,114.170226"
Tai Po,22.4423,114.1655,Kwong Fuk Estate Bus Stop (廣福邨巴士站),22.446357,114.172989,Bus Stop,"22.446357,114.172989"
Tai Po,22.4423,114.1655,Choi Fook Delight Banquet (彩福喜宴),22.448832883715315,114.1690035305801,Restaurant,"22.448833,114.169004"
Tai Po,22.4423,114.1655,亞婆豆腐花,22.446677509250183,114.16716330684707,Dessert Shop,"22.446678,114.167163"
Tsuen Wan,22.3713,114.1142,MTR Tsuen Wan Station (港鐵荃灣站),22.373258698068206,114.11796317820206,Metro Station,"22.373259,114.117963"
Tsuen Wan,22.3713,114.1142,Citywalk (荃新天地),22.370083333333334,114.11383333333333,Shopping Mall,"22.370083,114.113833"
Tsuen Wan,22.3713,114.1142,D Park (愉景新城),22.375801520939373,114.11174894662875,Shopping Mall,"22.375802,114.111749"
Tsuen Wan,22.3713,114.1142,The Mills (南豐紗廠),22.375168462617058,114.10972237586974,Shopping Mall,"22.375168,114.109722"
Tsuen Wan,22.3713,114.1142,Citywalk 2 (荃新天地 2),22.368575019672033,114.11418088643327,Shopping Mall,"22.368575,114.114181"
Tsuen Wan,22.3713,114.1142,AEON (永旺),22.370117393033247,114.11175389465012,Department Store,"22.370117,114.111754"
Tsuen Wan,22.3713,114.1142,New Town Mall (新之城),22.373755,114.116274,Shopping Mall,"22.373755,114.116274"
Tsuen Wan,22.3713,114.1142,Yata Department Store (一田百貨),22.37061156420957,114.11161288415708,Department Store,"22.370612,114.111613"
Tsuen Wan,22.3713,114.1142,Citistore (千色),22.371944076287942,114.1183590888977,Department Store,"22.371944,114.118359"
Tuen Mun,22.3908,113.9725,Tuen Mun Town Plaza (屯門市廣場),22.393434529073144,113.97637112879121,Shopping Mall,"22.393435,113.976371"
Tuen Mun,22.3908,113.9725,MTR Tuen Mun Station (港鐵屯門站),22.39603507239133,113.97338183062699,Train Station,"22.396035,113.973382"
Tuen Mun,22.3908,113.9725,V City,22.3953878,113.9739331,Shopping Mall,"22.395388,113.973933"
Tuen Mun,22.3908,113.9725,H.A.N.D.S (愛定商場),22.3875,113.97527777777776,Shopping Mall,"22.3875,113.975278"
Tuen Mun,22.3908,113.9725,The Trend Plaza (屯門時代廣場),22.39235,113.97580833333333,Shopping Mall,"22.39235,113.975808"
Tuen Mun,22.3908,113.9725,Crystal Jade (Crystal Jade La Miao Xiao Long Bao 翡翠拉麵小籠包),22.392541191796187,113.97818323795163,Restaurant,"22.392541,113.978183"
Tuen Mun,22.3908,113.9725,McDonald's (麥當勞),22.387718055046435,113.97547245025635,Restaurant,"22.387718,113.975472"
Tuen Mun,22.3908,113.9725,Star Seafood Restaurant (明星海鮮酒家),22.390773812910805,113.97688132968365,Restaurant,"22.390774,113.976881"
Tuen Mun,22.3908,113.9725,AEON (永旺),22.39272789549653,113.97752692998426,Department Store,"22.392728,113.977527"
Tuen Mun,22.3908,113.9725,MOS Burger (摩斯漢堡),22.393590150064792,113.9759235858072,Restaurant,"22.39359,113.975924"
Wong Tai Sin,22.3548,114.1974,Tsz Wan Shan Shopping Centre (慈雲山中心),22.349775619623397,114.1991305456171,Shopping Mall,"22.349776,114.199131"
Wong Tai Sin,22.3548,114.1974,Tsz Wan Shan (Central) Bus Terminus (慈雲山（中）巴士總站),22.34898328709048,114.20049206356397,Bus Station,"22.348983,114.200492"
Wong Tai Sin,22.3548,114.1974,Po Kong Village Road Sports Centre (蒲崗村道體育館),22.34972429061401,114.19917625849271,Athletics & Sports,"22.349724,114.199176"
Wong Tai Sin,22.3548,114.1974,恆益商店,22.3556920325428,114.199876785278,Snack Place,"22.355692,114.199877"
Wong Tai Sin,22.3548,114.1974,Wilson Trail (Section 4) (衛奕信徑（第四段）),22.355371714000924,114.19946288250384,Trail,"22.355372,114.199463"
Wong Tai Sin,22.3548,114.1974,Sam Kee Restaurant (三記美食),22.349738277868568,114.19919039676846,Restaurant,"22.349738,114.19919"
Wong Tai Sin,22.3548,114.1974,Tsz Wan Shan Estate Central Playground (慈雲山邨中央遊樂場),22.349740074271356,114.19917266546526,Park,"22.34974,114.199173"
Wong Tai Sin,22.3548,114.1974,Nice Capital Restaurant (麗都軒),22.34969742271545,114.19918888406134,Restaurant,"22.349697,114.199189"
Wong Tai Sin,22.3548,114.1974,Café de Coral (大家樂),22.349676648991917,114.19918268877053,Restaurant,"22.349677,114.199183"
Wong Tai Sin,22.3548,114.1974,Yeh Lam Kwok (椰林閣),22.349704265549178,114.1991343070181,Café,"22.349704,114.199134"
Kwun Tong,22.3157,114.2331,apm,22.312401,114.225222,Shopping Mall,"22.312401,114.225222"
Kwun Tong,22.3157,114.2331,Crocodile Centre (鱷魚恤中心),22.314871709659993,114.22627427854118,Building,"22.314872,114.226274"
Kwun Tong,22.3157,114.2331,McDonald’s (麥當勞),22.30792,114.23317,Restaurant,"22.30792,114.23317"
Kwun Tong,22.3157,114.2331,Apple apm Hong Kong,22.31240050380871,114.22533592503463,Electronics Store,"22.312401,114.225336"
Kwun Tong,22.3157,114.2331,Toast Box (土司工坊),22.312709073118732,114.22523212522287,Restaurant,"22.312709,114.225232"
Kwun Tong,22.3157,114.2331,Phở Lê (錦麗),22.312789531285244,114.22522457447002,Restaurant,"22.31279,114.225225"
Kwun Tong,22.3157,114.2331,KFC (肯德基),22.312584099888433,114.2255675959343,Restaurant,"22.312584,114.225568"
Kwun Tong,22.3157,114.2331,YATA Supermarket (一田超市),22.31258756827657,114.22499928999223,Supermarket,"22.312588,114.224999"
Kwun Tong,22.3157,114.2331,Sau Mau Ping Shopping Centre (秀茂坪商場),22.319338479308485,114.23168065264322,Shopping Mall,"22.319338,114.231681"
Kwun Tong,22.3157,114.2331,Palace APM (百老匯院線),22.312219912856566,114.22528266906737,Movie Theater,"22.31222,114.225283"
Islands,22.26279,113.96553999999999,Lantau Mountain Camp (爛頭營),22.258358257013903,113.96003279679282,Mountain,"22.258358,113.960033"
Islands,22.26279,113.96553999999999,Yi Tung Shan (二東山),22.258746,113.963525,Scenic Lookout,"22.258746,113.963525"
